year_in_community,env_quality,val_fish_habitat,val_drinking_water,val_coastal_water,val_flood_protection,val_agriculture,val_outdoor_rec_summer,val_outdoor_rec_winter,val_fall_foliage,val_forest_climate_protection,val_forest_wood,val_forest_biodiversity,7a,7b,7c,7d,7e,7f,7g,7h,7i,7j,7k,7l,birth_year,gender,education,politics,race,adults_in_household,children_in_household,income
45,Very Good,Very Important,Very Important,Very Important,Important,Important,Important,Important,Important,Very Important,Important,Important,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,1948,Male,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Moderate,White,2,,"More than $100,000 per year"
18,Fair,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Important,Very Important,Very Important,Prefer Not to Answer,Very Important,Neither Disagree nor Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Neither Disagree nor Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,1997,Male,High School (includes GED),Extremely Liberal,Other,4,0,"$75,001 to $100,000 per year"
9,Very Good,Very Important,Very Important,Important,Very Important,Very Important,Important,Important,Important,Very Important,Very Important,Very Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1963,Female,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Liberal,White,2,0,"$75,001 to $100,000 per year"
4,Fair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Very Good,Important,Important,Slight Importance,Moderately Important,Moderately Important,Very Important,Moderately Important,Slight Importance,Important,Moderately Important,Very Important,Strongly Agree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1959,Male,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Slightly Liberal,White,1,0,"$25,001 to $50,000 per year"
16,Very Good,Very Important,Very Important,Important,Important,Very Important,Important,Very Important,Very Important,Important,Important,Very Important,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Neither Disagree nor Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,1964,Male,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Conservative,White,3,,"More than $100,000 per year"
22,Good,Very Important,Important,Very Important,Important,Very Important,Very Important,Important,Very Important,Very Important,Important,Very Important,Somewhat Agree,Neither Disagree nor Agree,Somewhat Disagree,Somewhat Disagree,Neither Disagree nor Agree,Somewhat Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Somewhat Agree,Neither Disagree nor Agree,Somewhat Agree,Strongly Agree,,,,,,,,
59,Good,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1956,Female,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Liberal,White,1,0,"$25,001 to $50,000 per year"
65,Very Good,Very Important,Very Important,Very Important,Important,Important,Very Important,Very Important,Very Important,Very Important,Important,Prefer Not to Answer,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neither Disagree nor Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,1950,Female,4-year College Degree (Bachelor’s),Liberal,White,0,0,"$75,001 to $100,000 per year"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Good,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1955,Female,Some College or Associate’s or Technical Degree,Slightly Liberal,White,3,0,"$50,001 to $75,000 per year"
43,Good,Important,Very Important,Important,Important,Important,Very Important,Important,Important,Important,Important,Important,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1950,Male,4-year College Degree (Bachelor’s),Extremely Liberal,White,2,0,"$50,001 to $75,000 per year"
20,Good,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Important,Very Important,Important,Neither Disagree nor Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Neither Disagree nor Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,1956,Male,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Moderate,White,2,0,"$75,001 to $100,000 per year"
45,Good,Very Important,Very Important,Very Important,Important,Very Important,Important,Important,Moderately Important,Important,Very Important,Very Important,Neither Disagree nor Agree,Neither Disagree nor Agree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,1962,Female,Some College or Associate’s or Technical Degree,Prefer Not to Answer,White,3,1,"$75,001 to $100,000 per year"
7,Fair,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Moderately Important,Very Important,Very Important,Slight Importance,Neither Disagree nor Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1983,Male,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Extremely Liberal,White,2,0,"Less than $25,000 per year"
21,Very Good,Important,Very Important,Important,Important,Very Important,Very Important,Very Important,Moderately Important,Important,Important,Important,Strongly Agree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Neither Disagree nor Agree,Somewhat Agree,Neither Disagree nor Agree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,1968,Female,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Slightly Liberal,White,3,1,"More than $100,000 per year"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Good,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Important,Very Important,Very Important,Very Important,Very Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1930,Male,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Slightly Liberal,White,2,0,"$75,001 to $100,000 per year"
14,Fair,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Slight Importance,Important,Very Important,Very Important,Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1948,Male,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Moderate,White,1,0,"$50,001 to $75,000 per year"
6,Good,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Important,Very Important,Very Important,Very Important,Strongly Agree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1965,Female,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Moderate,White,2,0,"$50,001 to $75,000 per year"
17,Good,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Strongly Agree,Neither Disagree nor Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1985,Male,4-year College Degree (Bachelor’s),Prefer Not to Answer,Prefer Not to Answer,2,1,Prefer Not to Answer
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Fair,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Slight Importance,Very Important,Very Important,Very Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1937,Male,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Liberal,White,2,0,"$50,001 to $75,000 per year"
35,Fair,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Important,Very Important,Very Important,Very Important,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Neither Disagree nor Agree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,1956,Male,Some College or Associate’s or Technical Degree,Slightly Conservative,White,1,0,"Less than $25,000 per year"
43,Good,Very Important,Very Important,Important,Important,Important,Very Important,Moderately Important,Slight Importance,Prefer Not to Answer,Moderately Important,Prefer Not to Answer,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neither Disagree nor Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,1948,Female,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Slightly Liberal,White,1,0,Prefer Not to Answer
21,Very Good,Very Important,Very Important,Moderately Important,Very Important,Very Important,Very Important,Important,Very Important,Important,Important,Moderately Important,Strongly Agree,Neither Disagree nor Agree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,1970,Female,Some College or Associate’s or Technical Degree,Moderate,White,2,2,"$50,001 to $75,000 per year"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Very Good,Very Important,Very Important,Very Important,Very Important,Very Important,Slight Importance,Slight Importance,Unimportant,Very Important,Very Important,Very Important,Strongly Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1944,Male,4-year College Degree (Bachelor’s),Liberal,White,1,0,"Less than $25,000 per year"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Good,Important,Very Important,Very Important,Important,Important,Very Important,Very Important,Very Important,Important,Important,Important,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,1948,Female,4-year College Degree (Bachelor’s),Liberal,White,1,,"$25,001 to $50,000 per year"
7,Good,Very Important,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Very Important,Very Important,Important,Very Important,Strongly Agree,Neither Disagree nor Agree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,1944,Female,4-year College Degree (Bachelor’s),Slightly Conservative,White,1,0,Prefer Not to Answer
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Very Good,Very Important,Important,Very Important,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Very Important,Very Important,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Neither Disagree nor Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1945,Male,Some College or Associate’s or Technical Degree,Slightly Liberal,White,2,0,"$25,001 to $50,000 per year"
15,Good,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Important,Very Important,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1958,Female,4-year College Degree (Bachelor’s),Moderate,White,1,0,"$25,001 to $50,000 per year"
4,Good,Important,Very Important,Very Important,Moderately Important,Very Important,Very Important,Very Important,Very Important,Very Important,Moderately Important,Very Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1939,Male,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Prefer Not to Answer,White,1,0,"$25,001 to $50,000 per year"
13,Good,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Important,Important,Very Important,Important,Very Important,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1951,Female,4-year College Degree (Bachelor’s),Prefer Not to Answer,White,2,0,"Less than $25,000 per year"
1,Good,Important,Very Important,Important,Important,Important,Moderately Important,Slight Importance,Moderately Important,Important,Important,Important,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Neither Disagree nor Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,1964,Female,Some College or Associate’s or Technical Degree,Moderate,White,1,0,"$25,001 to $50,000 per year"
60,Good,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Important,Very Important,Very Important,Very Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1946,Female,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Moderate,White,1,0,"$25,001 to $50,000 per year"
8,Good,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Very Important,Important,Important,Somewhat Agree,Neither Disagree nor Agree,Somewhat Disagree,Somewhat Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Somewhat Agree,Neither Disagree nor Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,1971,Male,4-year College Degree (Bachelor’s),Moderate,White,2,5,Prefer Not to Answer
27,Good,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Important,Very Important,Very Important,Very Important,Very Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neither Disagree nor Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1956,Female,Some College or Associate’s or Technical Degree,Liberal,White,2,0,"$25,001 to $50,000 per year"
34,Good,Very Important,Very Important,Important,Important,Important,Important,Important,Important,Important,Important,Very Important,Neither Disagree nor Agree,Somewhat Disagree,Somewhat Disagree,Neither Disagree nor Agree,Somewhat Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Somewhat Agree,Neither Disagree nor Agree,Strongly Agree,Neither Disagree nor Agree,1952,Male,Some College or Associate’s or Technical Degree,Moderate,White,2,0,"$25,001 to $50,000 per year"
28,Good,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Moderately Important,Very Important,Important,Moderately Important,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Neither Disagree nor Agree,Prefer Not to Answer,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,1962,Female,Some College or Associate’s or Technical Degree,Slightly Conservative,White,2,,Prefer Not to Answer
10,Very Good,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Moderately Important,Very Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1962,Female,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Liberal,White,2,1,"$50,001 to $75,000 per year"
6,Very Good,Moderately Important,Very Important,Important,Important,Very Important,Important,Very Important,Important,Very Important,Important,Very Important,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Neither Disagree nor Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1973,Male,4-year College Degree (Bachelor’s),Conservative,White,2,1,"More than $100,000 per year"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Good,Very Important,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Important,Very Important,Important,Very Important,,,,,,,,,,,,,,,,,,,,
14,Good,Important,Very Important,Very Important,Important,Moderately Important,Slight Importance,Moderately Important,Moderately Important,Very Important,Very Important,Very Important,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Neither Disagree nor Agree,Somewhat Agree,Neither Disagree nor Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,1996,Male,Some College or Associate’s or Technical Degree,Slightly Liberal,Asian,4,0,"More than $100,000 per year"
16,Fair,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Important,Important,Very Important,Slight Importance,Very Important,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1959,Female,4-year College Degree (Bachelor’s),Extremely Liberal,White,1,,"$50,001 to $75,000 per year"
20,Good,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Important,Slight Importance,Important,Important,Very Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neither Disagree nor Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1955,Male,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Liberal,White,2,0,"More than $100,000 per year"
